target_chain,search_query,name_aliases,name_blacklist,expected_count,concurrency,priority,notes
Brodard Bakery,Brodard Bakery,Brodard Bakery,,,1,1,Generated from brands_to_crawl.txt
Cafe Amazon,Cafe Amazon,Cafe Amazon,,,1,2,Generated from brands_to_crawl.txt
CoCo Fresh Tea & Juice,CoCo Fresh Tea & Juice,CoCo Fresh Tea & Juice,,,1,3,Generated from brands_to_crawl.txt
Hồng Trà Ngô Gia,Hồng Trà Ngô Gia,Hồng Trà Ngô Gia,,,1,4,Generated from brands_to_crawl.txt
Laha Coffee,Laha Coffee,Laha Coffee,,,1,5,Generated from brands_to_crawl.txt
Laika Cafe,Laika Cafe,Laika Cafe,,,1,6,Generated from brands_to_crawl.txt
Napoli Coffee,Napoli Coffee,Napoli Coffee,,,1,7,Generated from brands_to_crawl.txt
Ông Bầu Coffee,Ông Bầu Coffee,Ông Bầu Coffee,,,1,8,Generated from brands_to_crawl.txt
Fahasa,Fahasa,Fahasa,,,1,9,Generated from brands_to_crawl.txt
Nhà sách Phương Nam,Nhà sách Phương Nam,Nhà sách Phương Nam,,,1,10,Generated from brands_to_crawl.txt
Điện máy Chợ Lớn,Điện máy Chợ Lớn,Điện máy Chợ Lớn,,,1,11,Generated from brands_to_crawl.txt
MediaMart,MediaMart,MediaMart,,,1,12,Generated from brands_to_crawl.txt
Nguyễn Kim,Nguyễn Kim,Nguyễn Kim,,,1,13,Generated from brands_to_crawl.txt
ShopDunk,ShopDunk,ShopDunk,,,1,14,Generated from brands_to_crawl.txt
Aristino,Aristino,Aristino,,,1,15,Generated from brands_to_crawl.txt
Biluxury,Biluxury,Biluxury,,,1,16,Generated from brands_to_crawl.txt
Biti's,Biti's,Biti's,,,1,17,Generated from brands_to_crawl.txt
Elise,Elise,Elise,,,1,18,Generated from brands_to_crawl.txt
H&M,H&M,H&M,,,1,19,Generated from brands_to_crawl.txt
Ivy Moda,Ivy Moda,Ivy Moda,,,1,20,Generated from brands_to_crawl.txt
Uniqlo,Uniqlo,Uniqlo,,,1,21,Generated from brands_to_crawl.txt
Zara,Zara,Zara,,,1,22,Generated from brands_to_crawl.txt
Muji,Muji,Muji,,,1,23,Generated from brands_to_crawl.txt
