brand,category,priority,status
Brodard Bakery,bakery,P1,chưa crawl
Cafe Amazon,beverage,P1,chưa crawl
CoCo Fresh Tea & Juice,beverage,P1,chưa crawl
Hồng Trà Ngô Gia,beverage,P1,chưa crawl
Laha Coffee,beverage,P1,chưa crawl
Laika Cafe,beverage,P1,chưa crawl
Napoli Coffee,beverage,P1,chưa crawl
Ông Bầu Coffee,beverage,P1,chưa crawl
Fahasa,bookstore,P1,chưa crawl
Nhà sách Phương Nam,bookstore,P1,chưa crawl
Điện máy Chợ Lớn,electronics,P1,chưa crawl
MediaMart,electronics,P1,chưa crawl
Nguyễn Kim,electronics,P1,chưa crawl
ShopDunk,electronics,P1,chưa crawl
Aristino,fashion,P1,chưa crawl
Biluxury,fashion,P1,chưa crawl
Biti's,fashion,P1,chưa crawl
Elise,fashion,P1,chưa crawl
H&M,fashion,P1,chưa crawl
Ivy Moda,fashion,P1,chưa crawl
Uniqlo,fashion,P1,chưa crawl
Zara,fashion,P1,chưa crawl
Muji,lifestyle,P1,chưa crawl
TokyoLife,lifestyle,P1,chưa crawl
BRG Intershop,minimart,P1,chưa crawl
BRGMart,minimart,P1,chưa crawl
Co.opSmile,minimart,P1,chưa crawl
Marukame Udon,restaurant,P1,chưa crawl
Mì Cay Sasin,restaurant,P1,chưa crawl
Mì Cay Seoul,restaurant,P1,chưa crawl
Nét Huế,restaurant,P1,chưa crawl
Phở 24,restaurant,P1,chưa crawl
Sukiya,restaurant,P1,chưa crawl
Tokyo Deli,restaurant,P1,chưa crawl
TH true mart,retail,P1,chưa crawl
FujiMart,supermarket,P1,chưa crawl
LanChi Mart,supermarket,P1,chưa crawl
Givral Bakery,bakery,P2,chưa crawl
Savouré Bakery,bakery,P2,chưa crawl
Chagee,beverage,P2,chưa crawl
Comebuy,beverage,P2,chưa crawl
Heekcaa,beverage,P2,chưa crawl
Hồng Trà Bông Trà,beverage,P2,chưa crawl
Juice Box,beverage,P2,chưa crawl
LaSiMi,beverage,P2,chưa crawl
Là Việt Coffee,beverage,P2,chưa crawl
Oola,beverage,P2,chưa crawl
R&B Tea,beverage,P2,chưa crawl
Rang Rang Coffee,beverage,P2,chưa crawl
Smoovie,beverage,P2,chưa crawl
Sunday Basic,beverage,P2,chưa crawl
The Alley,beverage,P2,chưa crawl
Three O'Clock,beverage,P2,chưa crawl
Tiger Sugar,beverage,P2,chưa crawl
Tươi Juice,beverage,P2,chưa crawl
Xing Fu Tang,beverage,P2,chưa crawl
Yi He Tang,beverage,P2,chưa crawl
ADCBook,bookstore,P2,chưa crawl
Nhã Nam,bookstore,P2,chưa crawl
Nhà sách Cá Chép,bookstore,P2,chưa crawl
Biti's Hunter,fashion,P2,chưa crawl
Nem Fashion,fashion,P2,chưa crawl
Ashima,restaurant,P2,chưa crawl
BoGi Pizza,restaurant,P2,chưa crawl
Buk Buk,restaurant,P2,chưa crawl
Capricciosa,restaurant,P2,chưa crawl
Chang Kang Kung,restaurant,P2,chưa crawl
Cơm Niêu Sài Gòn,restaurant,P2,chưa crawl
Daruma,restaurant,P2,chưa crawl
Dodo Pizza,restaurant,P2,chưa crawl
Hoàng Yến Buffet,restaurant,P2,chưa crawl
Hoàng Yến Cuisine,restaurant,P2,chưa crawl
Hoàng Yến Hotpot,restaurant,P2,chưa crawl
Hutong,restaurant,P2,chưa crawl
iSushi,restaurant,P2,chưa crawl
Khao Lao,restaurant,P2,chưa crawl
Kpub,restaurant,P2,chưa crawl
Meiwei,restaurant,P2,chưa crawl
Pepper Lunch,restaurant,P2,chưa crawl
Phở Thìn by Sol,restaurant,P2,chưa crawl
Quán Bụi,restaurant,P2,chưa crawl
San Fu Lou,restaurant,P2,chưa crawl
Shogun,restaurant,P2,chưa crawl
Sumo Yakiniku,restaurant,P2,chưa crawl
Sushi Kei,restaurant,P2,chưa crawl
Tasaki BBQ,restaurant,P2,chưa crawl
Wrap & Roll,restaurant,P2,chưa crawl
