PHASE 3 PRIORITY BRAND LIST
Updated: 2026-06-08

Format: Brand | status

## P1
### Retail / Supermarket / Convenience
- BRG Intershop | chưa crawl
- BRGMart | chưa crawl
- Co.opSmile | chưa crawl
- FujiMart | chưa crawl
- LanChi Mart | chưa crawl
- TH true mart | chưa crawl
### F&B / Beverage / Coffee / Tea
- Cafe Amazon | chưa crawl
- CoCo Fresh Tea & Juice | chưa crawl
- Hồng Trà Ngô Gia | chưa crawl
- Laha Coffee | chưa crawl
- Laika Cafe | chưa crawl
- Napoli Coffee | chưa crawl
- Ông Bầu Coffee | chưa crawl
### F&B / Restaurant / QSR / Hotpot / BBQ / Pizza
- Marukame Udon | chưa crawl
- Mì Cay Sasin | chưa crawl
- Mì Cay Seoul | chưa crawl
- Nét Huế | chưa crawl
- Phở 24 | chưa crawl
- Sukiya | chưa crawl
- Tokyo Deli | chưa crawl
### Bakery / Dessert
- Brodard Bakery | chưa crawl
### Electronics / Mobile
- Điện máy Chợ Lớn | chưa crawl
- MediaMart | chưa crawl
- Nguyễn Kim | chưa crawl
- ShopDunk | chưa crawl
### Fashion / Lifestyle / Jewelry
- Aristino | chưa crawl
- Biluxury | chưa crawl
- Biti's | chưa crawl
- Elise | chưa crawl
- H&M | chưa crawl
- Ivy Moda | chưa crawl
- Muji | chưa crawl
- TokyoLife | chưa crawl
- Uniqlo | chưa crawl
- Zara | chưa crawl
### Bookstore
- Fahasa | chưa crawl
- Nhà sách Phương Nam | chưa crawl

## P2
### F&B / Beverage / Coffee / Tea
- Chagee | chưa crawl
- Comebuy | chưa crawl
- Heekcaa | chưa crawl
- Hồng Trà Bông Trà | chưa crawl
- Juice Box | chưa crawl
- LaSiMi | chưa crawl
- Là Việt Coffee | chưa crawl
- Oola | chưa crawl
- R&B Tea | chưa crawl
- Rang Rang Coffee | chưa crawl
- Smoovie | chưa crawl
- Sunday Basic | chưa crawl
- The Alley | chưa crawl
- Three O'Clock | chưa crawl
- Tiger Sugar | chưa crawl
- Tươi Juice | chưa crawl
- Xing Fu Tang | chưa crawl
- Yi He Tang | chưa crawl
### F&B / Restaurant / QSR / Hotpot / BBQ / Pizza
- Ashima | chưa crawl
- BoGi Pizza | chưa crawl
- Buk Buk | chưa crawl
- Capricciosa | chưa crawl
- Chang Kang Kung | chưa crawl
- Cơm Niêu Sài Gòn | chưa crawl
- Daruma | chưa crawl
- Dodo Pizza | chưa crawl
- Hoàng Yến Buffet | chưa crawl
- Hoàng Yến Cuisine | chưa crawl
- Hoàng Yến Hotpot | chưa crawl
- Hutong | chưa crawl
- iSushi | chưa crawl
- Khao Lao | chưa crawl
- Kpub | chưa crawl
- Meiwei | chưa crawl
- Pepper Lunch | chưa crawl
- Phở Thìn by Sol | chưa crawl
- Quán Bụi | chưa crawl
- San Fu Lou | chưa crawl
- Shogun | chưa crawl
- Sumo Yakiniku | chưa crawl
- Sushi Kei | chưa crawl
- Tasaki BBQ | chưa crawl
- Wrap & Roll | chưa crawl
### Bakery / Dessert
- Givral Bakery | chưa crawl
- Savouré Bakery | chưa crawl
### Fashion / Lifestyle / Jewelry
- Biti's Hunter | chưa crawl
- Nem Fashion | chưa crawl
### Bookstore
- ADCBook | chưa crawl
- Nhã Nam | chưa crawl
- Nhà sách Cá Chép | chưa crawl
