brand,phase,category,status
WinMart,phase1,Retail,đã crawl
WinMart+,phase1,Retail,đã crawl
Bách Hóa Xanh,phase1,Retail,đã crawl
Coopmart,phase1,Retail,đã crawl
Coop Food,phase1,Retail,đã crawl
Kingfoodmart,phase1,Retail,đã crawl
Satrafoods,phase1,Retail,đã crawl
Vissan,phase1,Retail,đã crawl
Circle K,phase1,Convenience,đã crawl
GS25,phase1,Convenience,đã crawl
Family Mart,phase1,Convenience,đã crawl
7-Eleven,phase1,Convenience,đã crawl
Ministop,phase1,Convenience,đã crawl
Cheers,phase1,Convenience,đã crawl
Lotte Mart,phase1,Retail,đã crawl
AEON Mall,phase1,Retail,đã crawl
AEON MaxValu,phase1,Retail,đã crawl
MM Mega Market,phase1,Retail,đã crawl
GO!,phase1,Retail,đã crawl
mini Go!,phase1,Retail,đã crawl
Tops Market,phase1,Retail,đã crawl
Annam Gourmet,phase1,Retail,đã crawl
Farmers Market,phase1,Retail,đã crawl
Nhà thuốc An Khang,phase1,Pharmacy,đã crawl
Nhà thuốc Long Châu,phase1,Pharmacy,đã crawl
Pharmacity,phase1,Pharmacy,đã crawl
Guardian,phase1,Pharmacy,đã crawl
Watsons,phase1,Pharmacy,đã crawl
Matsumoto Kiyoshi,phase1,Pharmacy,đã crawl
Highlands Coffee,phase1,F&B,đã crawl
The Coffee House,phase1,F&B,đã crawl
Phúc Long,phase1,F&B,đã crawl
Trung Nguyên Legend,phase1,F&B,đã crawl
Trung Nguyên E-Coffee,phase1,F&B,đã crawl
Phê La,phase1,F&B,đã crawl
Katinat,phase1,F&B,đã crawl
Starbucks,phase1,F&B,đã crawl
Cộng Cà Phê,phase1,F&B,đã crawl
Cheese Coffee,phase1,F&B,đã crawl
Guta Cafe,phase1,F&B,đã crawl
Aha Cafe,phase1,F&B,đã crawl
Kafa Café,phase1,F&B,đã crawl
Mixue,phase1,F&B,đã crawl
Gong Cha,phase1,F&B,đã crawl
Koi Thé,phase1,F&B,đã crawl
Tocotoco,phase1,F&B,đã crawl
KFC,phase2,QSR,đã crawl
Lotteria,phase2,QSR,đã crawl
Jollibee,phase2,QSR,đã crawl
Pizza Hut,phase2,QSR,đã crawl
Domino's Pizza,phase2,QSR,đã crawl
Texas Chicken,phase2,QSR,đã crawl
Popeyes,phase2,QSR,đã crawl
McDonald's,phase2,QSR,đã crawl
Burger King,phase2,QSR,đã crawl
The Pizza Company,phase2,QSR,đã crawl
Gogi House,phase2,restaurant,đã crawl
Kichi-Kichi,phase2,restaurant,đã crawl
Manwah,phase2,restaurant,đã crawl
Sumo BBQ,phase2,restaurant,đã crawl
King BBQ,phase2,restaurant,đã crawl
Hotpot Story,phase2,restaurant,đã crawl
Haidilao,phase2,restaurant,đã crawl
Al Fresco's,phase2,restaurant,đã crawl
Pizza 4P's,phase2,restaurant,đã crawl
Sushi Tei,phase2,restaurant,đã crawl
ThaiExpress,phase2,restaurant,đã crawl
Crystal Jade,phase2,restaurant,đã crawl
Tous les Jours,phase2,bakery dessert,đã crawl
Paris Baguette,phase2,bakery dessert,đã crawl
BreadTalk,phase2,bakery dessert,đã crawl
ABC Bakery,phase2,bakery dessert,đã crawl
Dunkin',phase2,bakery dessert,đã crawl
Baskin Robbins,phase2,bakery dessert,đã crawl
Dairy Queen,phase2,bakery dessert,đã crawl
Bonchon,phase2,bakery dessert,đã crawl
Ding Tea,phase2,drinks,đã crawl
Royaltea,phase2,drinks,đã crawl
Bobapop,phase2,drinks,đã crawl
Sharetea,phase2,drinks,đã crawl
MayCha,phase2,drinks,đã crawl
Chuk Chuk,phase2,drinks,đã crawl
Passio,phase2,drinks,đã crawl
Milano Coffee,phase2,drinks,đã crawl
Oromia Coffee,phase2,drinks,đã crawl
Effoc Coffee,phase2,drinks,đã crawl
Gemini Coffee,phase2,drinks,đã crawl
Viva Star Coffee,phase2,drinks,đã crawl
The Gioi Di Dong,phase2,electronics,đã crawl
Dien May Xanh,phase2,electronics,đã crawl
FPT Shop,phase2,electronics,đã crawl
CellphoneS,phase2,electronics,đã crawl
Hoang Ha Mobile,phase2,electronics,đã crawl
Viettel Store,phase2,electronics,đã crawl
Di Dong Viet,phase2,electronics,đã crawl
TopZone,phase2,electronics,đã crawl
Con Cung,phase2,mother baby health,đã crawl
Kids Plaza,phase2,mother baby health,đã crawl
Bibo Mart,phase2,mother baby health,đã crawl
AVAKids,phase2,mother baby health,đã crawl
Medicare,phase2,mother baby health,đã crawl
Hasaki,phase2,mother baby health,đã crawl
Beauty Box,phase2,mother baby health,đã crawl
Sociolla,phase2,mother baby health,đã crawl
Yody,phase2,fashion lifestyle,đã crawl
Canifa,phase2,fashion lifestyle,đã crawl
Routine,phase2,fashion lifestyle,đã crawl
Coolmate,phase2,fashion lifestyle,đã crawl
Owen,phase2,fashion lifestyle,đã crawl
An Phuoc,phase2,fashion lifestyle,đã crawl
PNJ,phase2,fashion lifestyle,đã crawl
DOJI,phase2,fashion lifestyle,đã crawl
Miniso,phase2,fashion lifestyle,đã crawl
Daiso,phase2,fashion lifestyle,đã crawl
Uncle Bills,phase2,fashion lifestyle,đã crawl
