ALREADY CRAWLED BRANDS

Format: Brand | phase | status

## phase1
- 7-Eleven | phase1 | đã crawl
- AEON Mall | phase1 | đã crawl
- AEON MaxValu | phase1 | đã crawl
- Aha Cafe | phase1 | đã crawl
- Annam Gourmet | phase1 | đã crawl
- Bách Hóa Xanh | phase1 | đã crawl
- Cheers | phase1 | đã crawl
- Cheese Coffee | phase1 | đã crawl
- Circle K | phase1 | đã crawl
- Cộng Cà Phê | phase1 | đã crawl
- Coop Food | phase1 | đã crawl
- Coopmart | phase1 | đã crawl
- Family Mart | phase1 | đã crawl
- Farmers Market | phase1 | đã crawl
- GO! | phase1 | đã crawl
- Gong Cha | phase1 | đã crawl
- GS25 | phase1 | đã crawl
- Guardian | phase1 | đã crawl
- Guta Cafe | phase1 | đã crawl
- Highlands Coffee | phase1 | đã crawl
- Kafa Café | phase1 | đã crawl
- Katinat | phase1 | đã crawl
- Kingfoodmart | phase1 | đã crawl
- Koi Thé | phase1 | đã crawl
- Lotte Mart | phase1 | đã crawl
- Matsumoto Kiyoshi | phase1 | đã crawl
- mini Go! | phase1 | đã crawl
- Ministop | phase1 | đã crawl
- Mixue | phase1 | đã crawl
- MM Mega Market | phase1 | đã crawl
- Nhà thuốc An Khang | phase1 | đã crawl
- Nhà thuốc Long Châu | phase1 | đã crawl
- Pharmacity | phase1 | đã crawl
- Phê La | phase1 | đã crawl
- Phúc Long | phase1 | đã crawl
- Satrafoods | phase1 | đã crawl
- Starbucks | phase1 | đã crawl
- The Coffee House | phase1 | đã crawl
- Tocotoco | phase1 | đã crawl
- Tops Market | phase1 | đã crawl
- Trung Nguyên E-Coffee | phase1 | đã crawl
- Trung Nguyên Legend | phase1 | đã crawl
- Vissan | phase1 | đã crawl
- Watsons | phase1 | đã crawl
- WinMart | phase1 | đã crawl
- WinMart+ | phase1 | đã crawl

## phase2
- ABC Bakery | phase2 | đã crawl
- Al Fresco's | phase2 | đã crawl
- An Phuoc | phase2 | đã crawl
- AVAKids | phase2 | đã crawl
- Baskin Robbins | phase2 | đã crawl
- Beauty Box | phase2 | đã crawl
- Bibo Mart | phase2 | đã crawl
- Bobapop | phase2 | đã crawl
- Bonchon | phase2 | đã crawl
- BreadTalk | phase2 | đã crawl
- Burger King | phase2 | đã crawl
- Canifa | phase2 | đã crawl
- CellphoneS | phase2 | đã crawl
- Chuk Chuk | phase2 | đã crawl
- Con Cung | phase2 | đã crawl
- Coolmate | phase2 | đã crawl
- Crystal Jade | phase2 | đã crawl
- Dairy Queen | phase2 | đã crawl
- Daiso | phase2 | đã crawl
- Di Dong Viet | phase2 | đã crawl
- Dien May Xanh | phase2 | đã crawl
- Ding Tea | phase2 | đã crawl
- DOJI | phase2 | đã crawl
- Domino's Pizza | phase2 | đã crawl
- Dunkin' | phase2 | đã crawl
- Effoc Coffee | phase2 | đã crawl
- FPT Shop | phase2 | đã crawl
- Gemini Coffee | phase2 | đã crawl
- Gogi House | phase2 | đã crawl
- Haidilao | phase2 | đã crawl
- Hasaki | phase2 | đã crawl
- Hoang Ha Mobile | phase2 | đã crawl
- Hotpot Story | phase2 | đã crawl
- Jollibee | phase2 | đã crawl
- KFC | phase2 | đã crawl
- Kichi-Kichi | phase2 | đã crawl
- Kids Plaza | phase2 | đã crawl
- King BBQ | phase2 | đã crawl
- Lotteria | phase2 | đã crawl
- Manwah | phase2 | đã crawl
- MayCha | phase2 | đã crawl
- McDonald's | phase2 | đã crawl
- Medicare | phase2 | đã crawl
- Milano Coffee | phase2 | đã crawl
- Miniso | phase2 | đã crawl
- Oromia Coffee | phase2 | đã crawl
- Owen | phase2 | đã crawl
- Paris Baguette | phase2 | đã crawl
- Passio | phase2 | đã crawl
- Pizza 4P's | phase2 | đã crawl
- Pizza Hut | phase2 | đã crawl
- PNJ | phase2 | đã crawl
- Popeyes | phase2 | đã crawl
- Routine | phase2 | đã crawl
- Royaltea | phase2 | đã crawl
- Sharetea | phase2 | đã crawl
- Sociolla | phase2 | đã crawl
- Sumo BBQ | phase2 | đã crawl
- Sushi Tei | phase2 | đã crawl
- Texas Chicken | phase2 | đã crawl
- ThaiExpress | phase2 | đã crawl
- The Gioi Di Dong | phase2 | đã crawl
- The Pizza Company | phase2 | đã crawl
- TopZone | phase2 | đã crawl
- Tous les Jours | phase2 | đã crawl
- Uncle Bills | phase2 | đã crawl
- Viettel Store | phase2 | đã crawl
- Viva Star Coffee | phase2 | đã crawl
- Yody | phase2 | đã crawl
