"brand_id","name","address","city","province","lat","lng"
"","YODY Cao Lỗ","120 Cao Lỗ, Chánh Hưng, Hồ Chí Minh 73018, Việt Nam","Chánh Hưng","Hồ Chí Minh","10.740219","106.6777557"
"","YODY Lò Đúc","Chân, Cầu vượt Trần Khát Chân Đ. Trần Khát Chân, ngã tư, Hai Bà Trưng, Hà Nội 11609, Việt Nam","Hai Bà Trưng","Hà Nội","21.0092729","105.8606499"
"","YODY Nguyễn Lương Bằng","55 Nguyễn Lương Bằng, Đống Đa, Hà Nội 11524, Việt Nam","Đống Đa","Hà Nội","21.0175007","105.8294934"
"","YODY Trần Đại Nghĩa","Trần Đại Nghĩa, Bạch Mai, Hà Nội 11616, Việt Nam","Bạch Mai","Hà Nội","20.997739","105.8457842"
"","YODY An Dương","Số 141 Tổ 4, Phường, An Dương, Hải Phòng 184920, Việt Nam","An Dương","Hải Phòng","20.8572714","106.6152646"
"","YODY Quán Toan","567 Đ. Hùng Vương, Hồng An, Hải Phòng 181300, Việt Nam","Hồng An","Hải Phòng","20.8901759","106.602565"
"","YODY Ea Kar","143 Nguyễn Tất Thành, Ea Kar, Đắk Lắk 633450, Việt Nam","Ea Kar","Đắk Lắk","",""
"","YODY Cẩm Phả 2","26-28 Bà Triệu, Phường, Cẩm Phả, Quảng Ninh 203627, Việt Nam","Cẩm Phả","Quảng Ninh","21.0095875","107.2913976"
"","YODY Bãi Cháy","701 Hạ Long, Bãi Cháy, Quảng Ninh 01119, Việt Nam","Bãi Cháy","Quảng Ninh","20.9607484","107.0205882"
"","Yody","Cẩm Thành, Quảng Ngãi, Việt Nam","Cẩm Thành","Quảng Ngãi","15.12551","108.7980115"
